about	关于；大约
at	向；在；起初（at first）
for	为了；因为
in	在……里；在……时
still	静止的；仍然
accidents	意外；事故
across	穿过；横过
after	在……之后
afterward	后来；随后
again	再次
air	空气
also	也；还
an	一个
another	另一次；另一个
anxiously	焦急地
any	任何
anything	任何事物
arms	手臂
arose	出现；刮起
around	在周围；四处
as	像；当……时
asleep	睡着的
aunt	姨母；姑母
baby	婴儿
badly	非常；严重地
baked	晒烤；烤干
balloon	气球
barking	吠叫
be	是；成为
beard	胡子
became	变得
bed	床
beds	床
been	曾经；已经
before	在……之前
being	正在被；存在
beside	在……旁边
black	黑色的
blades	草叶；叶片
blistered	使起泡
boots	靴子
bowed	弯下；低垂
broad	宽阔的
broke	打破；打断
build	建造
building	房屋；建筑物
burned	晒焦；烧焦
but	但是
by	由；在……旁边
called	叫作；称呼
calmly	平静地
came	来到
carried	搬运；带走
carry	搬运；带着
case	情况
caught	抓住
cellar	地窖
center	中心
chairs	椅子
changed	改变了
chapter	章节
cheeks	脸颊
child's	孩子的
climbed	爬上；爬下
close	近的
closed	闭上；关上
closing	关上
color	颜色
contained	容纳；装着
cooking	做饭用的
corner	角落
could	能够；可能
country	乡村；地方
cows	奶牛
cracks	裂缝
cradle	摇篮
crawled	爬行
crept	悄悄爬行
crush	压碎
cupboard	碗柜
cyclone	旋风；龙卷风
danger	危险
dark	黑暗的
dashed	猛撞；摔碎
deaf	聋的
dearly	深深地
did	做了；用于否定或疑问
direction	方向
directions	方向
dishes	餐具；碗碟
dog	狗
door	门
door-step	门前台阶
doorway	门口
dorothy	多萝西（人名）
dorothy's	多萝西的
dragged	拖；拉
dropped	放下；丢下
dug	挖
dull	暗淡的
ear	耳朵
ears	耳朵
easily	轻易地
edge	边缘
either	两边中的任何一边
else	别的；其他
em	艾姆（人名）
enough	足够
even	甚至；连……也
everywhere	到处
exact	正好；精确的
except	除了
eyes	眼睛
fall	落下；跌倒
family	一家人
farmer	农夫
farmer's	农夫的
fast	很快地；牢牢地
feather	羽毛
fell	掉下
felt	感觉到
few	几个；少数
find	找到
first	首先；最初
flat	平坦的
floor	地板
follow	跟随
followed	跟着
footing	立足点；脚下的平衡
found	发现；找到
four	四
fright	惊恐
frightened	害怕的
from	从
funny	有趣的；滑稽的
future	未来
garret	阁楼
gaunt	消瘦的
generally	通常
gently	轻轻地
get	变得；得到
girl	女孩
glance	一瞥
go	去
going	正在去；将要
got	变得；得到
grass	草
gray	灰色的
grayer	更灰暗的
great	巨大的；很大的
ground	地面
growing	变得；生长
had	有；已经
hair	毛发；头发
half	一半
hand	手
happen	发生
happened	发生了
hard	用力地；艰苦地
heard	听见
heart	心脏
henry	亨利（人名）
her	她；她的
here	这里
hid	躲藏
higher	更高
hole	洞
horribly	可怕地
horses	马
hour	小时
hours	小时
house	房子
however	然而
howled	呼啸
i	我
i'll	我会
if	如果；是否
into	进入……里面
it	它
its	它的
joy	快乐
jumped	跳
kansas	堪萨斯州（地名）
keeping	托住；保持
kept	饲养；保持
know	知道
ladder	梯子
land	土地
last	最后；终于
laugh	笑
laughed	笑了
laughter	笑声
lay	躺下
led	通向
left	留下；离开
lips	嘴唇
live	生活；居住
lived	住在；生活
lonely	孤独的
long	长的
look	看；照看
looked	看了；显得
looking	看着
lost	失去；迷路
loudly	大声地
loved	喜爱
low	低沉的
lumber	木材
made	使得；制作
many	许多
mass	一大片；一团
merrily	快乐地
merry	欢快的
met	相遇；汇合
middle	中间
midst	中间
mighty	强大的
miles	英里
more	更多
near	靠近
nearly	几乎
never	从不
no	没有；不
nor	也不
north	北方
nose	鼻子
not	不
nothing	没有什么
now	现在
on	在……上；继续
once	曾经；有一次
open	打开的
or	或者
orphan	孤儿
other	其他的
out	出去
over	在……上方；结束
paint	油漆
painted	刷过油漆
passed	过去；经过
path	道路；路径
pieces	碎片
played	玩耍
playing	玩耍中
plowed	犁过的
prairie	大草原
prairies	大草原
press	按；压
pressure	压力
pretty	漂亮的
quick	快；赶紧
quite	十分；很
rains	雨水
raised	抬起；举起
ran	跑
rarely	很少
reached	到达
remained	仍留在
resolved	决定
riding	乘坐
ripples	波纹
rocked	摇晃
roof	屋顶
room	房间
rose	升起
rough	粗糙的
run	跑
running	流动；奔跑
rusty	生锈的
same	相同的
sat	坐着
saved	使免于；救了
saw	看见
scream	尖叫
screamed	尖叫了
see	看见
seen	看见过
sharp	尖厉的
she	她
sheds	棚屋
shook	摇晃
shriek	尖啸
shrieked	尖声呼啸
side	一边
silky	柔滑的
slowly	慢慢地
small	小的
smiled	微笑
so	如此；因此
sober	黯淡的；严肃的
solemn	严肃的
soon	很快
south	南方
sparkle	光彩
spite	尽管
spoke	说话
started	开始；动身
startled	吓了一跳
stern	严厉的
sticking	伸出来
stock	牲畜
stood	站着
stopped	停止
storm	暴风雨
stove	炉子
strange	奇怪的
strong	强大的
suddenly	突然
surroundings	周围的环境
swaying	摇晃的
sweep	广阔的一片
table	桌子
taken	拿走；带走
terrible	可怕的
than	比
that	那个；引导从句
their	他们的
them	他们
then	然后
there	那里；有
there's	有；那是
thin	瘦的
thing	事情；东西
this	这个
those	那些
thought	以为；想
threw	猛地打开；扔
till	直到
to-day	今天
time	时间；次数
times	次
tipped	倾斜
told	告诉
too	也；太
top	顶部
tops	顶端
toto	托托（狗的名字）
toward	朝着
trap-door	活板门
turned	转向
twinkled	闪烁
two	二
uncle	叔叔；伯伯
until	直到
up	向上；起来
upon	在……上
usual	平常的
very	很；非常
voice	声音
wagon	马车
wail	哀鸣声
wailing	呼啸声
wait	等待
waited	等待了
walls	墙
was	是
washed	冲掉；洗掉
washing	清洗
waves	波浪
way	路；方式
wee	很小的
were	是
what	什么
when	当……时候
whenever	每当
where	哪里；在……的地方
which	哪个；引导从句
whirled	旋转
whirls	旋转
whirlwinds	旋风
whistling	呼啸
who	谁；引导从句
wife	妻子
wind	风
winds	风
wonder	惊讶；想知道
wondered	想知道
work	工作
worked	工作了
worrying	担心
would	会；愿意
you	你
young	年轻的
